,Pts,season,round,team,Form
228,18,2022,Matchweek 13,Fulham,4
229,17,2022,Matchweek 13,Brentford,4
230,14,2022,Matchweek 13,Crystal Palace,7
231,13,2022,Matchweek 13,Bournemouth,4
232,11,2022,Matchweek 13,West Ham,4
233,11,2022,Matchweek 13,Southampton,4
234,10,2022,Matchweek 13,Leeds,0
235,10,2022,Matchweek 13,Everton,0
236,9,2022,Matchweek 13,Aston Villa,1
237,9,2022,Matchweek 13,Wolves,3
238,8,2022,Matchweek 13,Leicester,4
239,6,2022,Matchweek 13,Nottm Forest,2
240,32,2022,Matchweek 14,Man City,6
241,31,2022,Matchweek 14,Arsenal,4
242,23,2022,Matchweek 14,Tottenham,3
243,22,2022,Matchweek 14,Man Utd,5
244,21,2022,Matchweek 14,Newcastle,7
245,21,2022,Matchweek 14,Chelsea,5
246,21,2022,Matchweek 14,Fulham,7
247,19,2022,Matchweek 14,Liverpool,6
248,18,2022,Matchweek 14,Brighton,1
249,17,2022,Matchweek 14,Brentford,4
250,14,2022,Matchweek 14,West Ham,4
251,14,2022,Matchweek 14,Crystal Palace,4
252,13,2022,Matchweek 14,Everton,3
253,13,2022,Matchweek 14,Bournemouth,1
254,12,2022,Matchweek 14,Aston Villa,3
255,12,2022,Matchweek 14,Southampton,5
256,11,2022,Matchweek 14,Leicester,7
257,10,2022,Matchweek 14,Leeds,0
258,9,2022,Matchweek 14,Nottm Forest,4
259,9,2022,Matchweek 14,Wolves,3
260,35,2022,Matchweek 15,Man City,9
261,34,2022,Matchweek 15,Arsenal,4
262,26,2022,Matchweek 15,Tottenham,3
263,25,2022,Matchweek 15,Man Utd,7
264,24,2022,Matchweek 15,Newcastle,9
265,22,2022,Matchweek 15,Fulham,7
266,21,2022,Matchweek 15,Brighton,4
267,21,2022,Matchweek 15,Chelsea,2
268,19,2022,Matchweek 15,Liverpool,3
269,18,2022,Matchweek 15,Brentford,2
270,17,2022,Matchweek 15,Crystal Palace,6
271,14,2022,Matchweek 15,West Ham,3
272,14,2022,Matchweek 15,Everton,4
273,13,2022,Matchweek 15,Leeds,3
274,13,2022,Matchweek 15,Bournemouth,0
275,12,2022,Matchweek 15,Aston Villa,3
276,12,2022,Matchweek 15,Southampton,4
277,11,2022,Matchweek 15,Leicester,6
278,10,2022,Matchweek 15,Wolves,1
279,9,2022,Matchweek 15,Nottm Forest,4
280,38,2022,Matchweek 16,Man City,9
281,37,2022,Matchweek 16,Arsenal,7
282,27,2022,Matchweek 16,Newcastle,9
283,26,2022,Matchweek 16,Tottenham,3
284,25,2022,Matchweek 16,Man Utd,4
