,Pts,season,round,team,Form
1820,62,2020,Matchweek 27,Man City,9
1821,50,2020,Matchweek 27,Man Utd,5
1822,49,2020,Matchweek 27,Leicester,6
1823,45,2020,Matchweek 27,West Ham,6
1824,44,2020,Matchweek 27,Chelsea,5
1825,44,2020,Matchweek 27,Everton,6
1826,43,2020,Matchweek 27,Liverpool,3
1827,42,2020,Matchweek 27,Tottenham,3
1828,40,2020,Matchweek 27,Aston Villa,4
1829,37,2020,Matchweek 27,Arsenal,6
1830,35,2020,Matchweek 27,Leeds,0
1831,34,2020,Matchweek 27,Wolves,7
1832,33,2020,Matchweek 27,Crystal Palace,4
1833,30,2020,Matchweek 27,Southampton,1
1834,28,2020,Matchweek 27,Burnley,4
1835,26,2020,Matchweek 27,Brighton,1
1836,26,2020,Matchweek 27,Newcastle,1
1837,23,2020,Matchweek 27,Fulham,7
1838,17,2020,Matchweek 27,West Brom,5
1839,11,2020,Matchweek 27,Sheff Utd,0
1840,62,2020,Matchweek 28,Man City,6
1841,53,2020,Matchweek 28,Man Utd,7
1842,52,2020,Matchweek 28,Leicester,6
1843,48,2020,Matchweek 28,West Ham,6
1844,47,2020,Matchweek 28,Chelsea,5
1845,45,2020,Matchweek 28,Tottenham,6
1846,44,2020,Matchweek 28,Everton,6
1847,43,2020,Matchweek 28,Liverpool,3
1848,41,2020,Matchweek 28,Aston Villa,4
1849,38,2020,Matchweek 28,Arsenal,4
1850,35,2020,Matchweek 28,Leeds,0
1851,35,2020,Matchweek 28,Wolves,5
1852,33,2020,Matchweek 28,Southampton,4
1853,33,2020,Matchweek 28,Crystal Palace,4
1854,29,2020,Matchweek 28,Burnley,2
1855,27,2020,Matchweek 28,Newcastle,2
1856,26,2020,Matchweek 28,Brighton,0
1857,26,2020,Matchweek 28,Fulham,7
1858,18,2020,Matchweek 28,West Brom,5
1859,11,2020,Matchweek 28,Sheff Utd,0
1860,65,2020,Matchweek 29,Man City,6
1861,56,2020,Matchweek 29,Man Utd,7
1862,55,2020,Matchweek 29,Leicester,6
1863,48,2020,Matchweek 29,Chelsea,5
1864,48,2020,Matchweek 29,West Ham,3
1865,46,2020,Matchweek 29,Liverpool,6
1866,45,2020,Matchweek 29,Tottenham,6
1867,44,2020,Matchweek 29,Everton,3
1868,42,2020,Matchweek 29,Aston Villa,5
1869,41,2020,Matchweek 29,Arsenal,7
1870,36,2020,Matchweek 29,Leeds,1
1871,36,2020,Matchweek 29,Crystal Palace,4
1872,35,2020,Matchweek 29,Wolves,2
1873,33,2020,Matchweek 29,Southampton,3
1874,32,2020,Matchweek 29,Burnley,4
1875,29,2020,Matchweek 29,Brighton,3
1876,28,2020,Matchweek 29,Newcastle,3
1877,26,2020,Matchweek 29,Fulham,4
1878,18,2020,Matchweek 29,West Brom,4
1879,11,2020,Matchweek 29,Sheff Utd,0
1880,68,2020,Matchweek 30,Man City,6
1881,57,2020,Matchweek 30,Man Utd,7
1882,56,2020,Matchweek 30,Leicester,7
1883,51,2020,Matchweek 30,Chelsea,7
1884,49,2020,Matchweek 30,West Ham,4
1885,48,2020,Matchweek 30,Tottenham,6
1886,47,2020,Matchweek 30,Everton,3
1887,46,2020,Matchweek 30,Liverpool,3
1888,42,2020,Matchweek 30,Aston Villa,2
1889,42,2020,Matchweek 30,Arsenal,5
1890,39,2020,Matchweek 30,Leeds,4
1891,37,2020,Matchweek 30,Crystal Palace,4
1892,35,2020,Matchweek 30,Wolves,1
1893,33,2020,Matchweek 30,Southampton,3
1894,33,2020,Matchweek 30,Burnley,5
1895,32,2020,Matchweek 30,Brighton,6
1896,28,2020,Matchweek 30,Newcastle,2
1897,26,2020,Matchweek 30,Fulham,3
1898,18,2020,Matchweek 30,West Brom,1
1899,14,2020,Matchweek 30,Sheff Utd,3
1900,71,2020,Matchweek 31,Man City,9
1901,60,2020,Matchweek 31,Man Utd,7
1902,56,2020,Matchweek 31,Leicester,4
1903,52,2020,Matchweek 31,West Ham,4
1904,51,2020,Matchweek 31,Chelsea,4
1905,49,2020,Matchweek 31,Tottenham,4
1906,49,2020,Matchweek 31,Liverpool,6
1907,48,2020,Matchweek 31,Everton,4
1908,45,2020,Matchweek 31,Aston Villa,4
1909,42,2020,Matchweek 31,Arsenal,4
1910,42,2020,Matchweek 31,Leeds,7
1911,38,2020,Matchweek 31,Crystal Palace,5
1912,36,2020,Matchweek 31,Southampton,3
1913,35,2020,Matchweek 31,Wolves,0
1914,33,2020,Matchweek 31,Burnley,4
1915,32,2020,Matchweek 31,Brighton,6
1916,29,2020,Matchweek 31,Newcastle,2
1917,26,2020,Matchweek 31,Fulham,0
1918,21,2020,Matchweek 31,West Brom,3
1919,14,2020,Matchweek 31,Sheff Utd,3
1920,71,2020,Matchweek 32,Man City,6
1921,63,2020,Matchweek 32,Man Utd,7
1922,56,2020,Matchweek 32,Leicester,1
1923,55,2020,Matchweek 32,West Ham,7
1924,54,2020,Matchweek 32,Chelsea,6
1925,52,2020,Matchweek 32,Liverpool,6
1926,49,2020,Matchweek 32,Tottenham,4
1927,49,2020,Matchweek 32,Everton,5
1928,45,2020,Matchweek 32,Aston Villa,3
1929,45,2020,Matchweek 32,Arsenal,4
1930,45,2020,Matchweek 32,Leeds,9
1931,38,2020,Matchweek 32,Wolves,3
1932,38,2020,Matchweek 32,Crystal Palace,2
1933,36,2020,Matchweek 32,Southampton,3
1934,33,2020,Matchweek 32,Brighton,4
1935,33,2020,Matchweek 32,Burnley,1
1936,32,2020,Matchweek 32,Newcastle,4
1937,26,2020,Matchweek 32,Fulham,0
1938,24,2020,Matchweek 32,West Brom,6
1939,14,2020,Matchweek 32,Sheff Utd,3
1940,74,2020,Matchweek 33,Man City,6
1941,66,2020,Matchweek 33,Man Utd,9
1942,59,2020,Matchweek 33,Leicester,3
1943,55,2020,Matchweek 33,Chelsea,4
1944,55,2020,Matchweek 33,West Ham,6
1945,53,2020,Matchweek 33,Liverpool,7
1946,50,2020,Matchweek 33,Tottenham,2
1947,50,2020,Matchweek 33,Everton,3
1948,46,2020,Matchweek 33,Arsenal,4
1949,46,2020,Matchweek 33,Leeds,7
1950,45,2020,Matchweek 33,Aston Villa,3
1951,41,2020,Matchweek 33,Wolves,6
1952,39,2020,Matchweek 33,Southampton,6
1953,38,2020,Matchweek 33,Crystal Palace,1
1954,35,2020,Matchweek 33,Newcastle,7
1955,34,2020,Matchweek 33,Brighton,2
1956,33,2020,Matchweek 33,Burnley,0
1957,27,2020,Matchweek 33,Fulham,1
1958,24,2020,Matchweek 33,West Brom,6
1959,14,2020,Matchweek 33,Sheff Utd,0
1960,77,2020,Matchweek 34,Man City,6
1961,67,2020,Matchweek 34,Man Utd,7
1962,62,2020,Matchweek 34,Leicester,6
1963,58,2020,Matchweek 34,Chelsea,7
1964,55,2020,Matchweek 34,West Ham,3
1965,54,2020,Matchweek 34,Liverpool,5
1966,53,2020,Matchweek 34,Tottenham,4
1967,53,2020,Matchweek 34,Everton,5
1968,47,2020,Matchweek 34,Leeds,5
1969,46,2020,Matchweek 34,Aston Villa,1
1970,46,2020,Matchweek 34,Arsenal,4
1971,41,2020,Matchweek 34,Wolves,6
1972,39,2020,Matchweek 34,Southampton,3
1973,38,2020,Matchweek 34,Crystal Palace,0
1974,36,2020,Matchweek 34,Burnley,3
1975,36,2020,Matchweek 34,Newcastle,7
1976,34,2020,Matchweek 34,Brighton,2
1977,27,2020,Matchweek 34,Fulham,1
1978,25,2020,Matchweek 34,West Brom,4
1979,17,2020,Matchweek 34,Sheff Utd,3
1980,80,2020,Matchweek 35,Man City,9
1981,67,2020,Matchweek 35,Man Utd,4
1982,63,2020,Matchweek 35,Leicester,7
1983,61,2020,Matchweek 35,Chelsea,7
1984,58,2020,Matchweek 35,West Ham,3
1985,57,2020,Matchweek 35,Liverpool,5
1986,56,2020,Matchweek 35,Tottenham,7
1987,53,2020,Matchweek 35,Everton,4
1988,49,2020,Matchweek 35,Aston Villa,4
1989,49,2020,Matchweek 35,Arsenal,4
1990,47,2020,Matchweek 35,Leeds,2
1991,42,2020,Matchweek 35,Wolves,4
1992,40,2020,Matchweek 35,Southampton,4
1993,38,2020,Matchweek 35,Crystal Palace,0
1994,37,2020,Matchweek 35,Brighton,4
1995,36,2020,Matchweek 35,Burnley,3
1996,36,2020,Matchweek 35,Newcastle,4
1997,27,2020,Matchweek 35,Fulham,1
1998,26,2020,Matchweek 35,West Brom,2
1999,17,2020,Matchweek 35,Sheff Utd,3
2000,80,2020,Matchweek 36,Man City,6
2001,70,2020,Matchweek 36,Man Utd,4
2002,64,2020,Matchweek 36,Chelsea,9
2003,63,2020,Matchweek 36,Leicester,4
2004,60,2020,Matchweek 36,Liverpool,7
2005,58,2020,Matchweek 36,West Ham,3
2006,56,2020,Matchweek 36,Tottenham,6
2007,56,2020,Matchweek 36,Everton,6
2008,52,2020,Matchweek 36,Arsenal,6
2009,50,2020,Matchweek 36,Leeds,4
2010,49,2020,Matchweek 36,Aston Villa,4
2011,45,2020,Matchweek 36,Wolves,4
2012,41,2020,Matchweek 36,Crystal Palace,3
2013,40,2020,Matchweek 36,Southampton,1
2014,39,2020,Matchweek 36,Burnley,6
2015,39,2020,Matchweek 36,Newcastle,4
2016,37,2020,Matchweek 36,Brighton,3
2017,27,2020,Matchweek 36,Fulham,0
2018,26,2020,Matchweek 36,West Brom,2
2019,17,2020,Matchweek 36,Sheff Utd,3
2020,83,2020,Matchweek 37,Man City,6
2021,70,2020,Matchweek 37,Man Utd,3
2022,66,2020,Matchweek 37,Leicester,4
2023,64,2020,Matchweek 37,Chelsea,6
2024,63,2020,Matchweek 37,Liverpool,9
2025,59,2020,Matchweek 37,Tottenham,6
2026,59,2020,Matchweek 37,West Ham,4
2027,56,2020,Matchweek 37,Everton,3
2028,55,2020,Matchweek 37,Arsenal,9
2029,53,2020,Matchweek 37,Leeds,6
2030,49,2020,Matchweek 37,Aston Villa,3
2031,45,2020,Matchweek 37,Wolves,4
2032,44,2020,Matchweek 37,Crystal Palace,6
2033,43,2020,Matchweek 37,Southampton,4
2034,39,2020,Matchweek 37,Burnley,3
2035,39,2020,Matchweek 37,Newcastle,3
2036,38,2020,Matchweek 37,Brighton,4
2037,27,2020,Matchweek 37,Fulham,0
2038,26,2020,Matchweek 37,West Brom,1
2039,20,2020,Matchweek 37,Sheff Utd,3
2040,83,2020,Matchweek 38,Man City,3
2041,71,2020,Matchweek 38,Man Utd,4
2042,67,2020,Matchweek 38,Chelsea,6
2043,66,2020,Matchweek 38,Liverpool,9
2044,66,2020,Matchweek 38,Leicester,3
2045,62,2020,Matchweek 38,West Ham,4
2046,59,2020,Matchweek 38,Tottenham,3
2047,59,2020,Matchweek 38,Everton,6
2048,58,2020,Matchweek 38,Arsenal,9
2049,56,2020,Matchweek 38,Leeds,9
2050,52,2020,Matchweek 38,Aston Villa,3
2051,45,2020,Matchweek 38,Wolves,3
2052,44,2020,Matchweek 38,Crystal Palace,6
2053,43,2020,Matchweek 38,Southampton,3
2054,42,2020,Matchweek 38,Newcastle,6
2055,41,2020,Matchweek 38,Brighton,4
2056,39,2020,Matchweek 38,Burnley,3
2057,28,2020,Matchweek 38,Fulham,1
2058,26,2020,Matchweek 38,West Brom,0
2059,20,2020,Matchweek 38,Sheff Utd,3
2060,86,2020,Matchweek 39,Man City,6
2061,74,2020,Matchweek 39,Man Utd,4
2062,69,2020,Matchweek 39,Liverpool,9
2063,67,2020,Matchweek 39,Chelsea,3
2064,66,2020,Matchweek 39,Leicester,3
2065,65,2020,Matchweek 39,West Ham,7
2066,62,2020,Matchweek 39,Tottenham,6
2067,61,2020,Matchweek 39,Arsenal,9
2068,59,2020,Matchweek 39,Leeds,9
2069,59,2020,Matchweek 39,Everton,3
2070,55,2020,Matchweek 39,Aston Villa,6
2071,45,2020,Matchweek 39,Newcastle,6
2072,45,2020,Matchweek 39,Wolves,0
2073,44,2020,Matchweek 39,Crystal Palace,3
2074,43,2020,Matchweek 39,Southampton,3
2075,41,2020,Matchweek 39,Brighton,4
2076,39,2020,Matchweek 39,Burnley,0
2077,28,2020,Matchweek 39,Fulham,1
2078,26,2020,Matchweek 39,West Brom,0
2079,23,2020,Matchweek 39,Sheff Utd,6
